,property_title,seller_id,seller_type,open_viewing,no_of_photos,available_from,available_for,area,furnished,bathrooms,beds,price,Parking,Cable Television,Dryer,Garden / Patio / Balcony,Washing Machine,Serviced Property,Pets Allowed,Wheelchair Access,Central Heating,Microwave,Smoking,Dishwasher,House Alarm,Internet
24,"2 bedroom apartment, Chancery Court, Chancery Lane, Dublin 2, Dublin 2",0.0,0.0,0.0,10.0,2017-09-13,12.0,53.0,1.0,1.0,2.0,2500.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
25,"2 Hanover Loft, Hanover Street, Grand Canal Dock, Dublin 2",0.0,0.0,0.0,19.0,2017-09-30,12.0,52.0,1.0,2.0,2.0,3000.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
26,"2 Levmoss Hall, The Gallops, Leopardstown, Dublin 18",0.0,0.0,0.0,13.0,2017-09-25,6.0,44.0,0.0,2.0,2.0,1800.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
27,"2 manor villas, Harold's Cross, Dublin 6",0.0,0.0,0.0,7.0,2017-09-12,12.0,19.0,1.0,1.0,3.0,2000.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
28,"2 Merton Hall, Mount Saint Annes, Milltown, Milltown, Dublin 6",0.0,0.0,0.0,13.0,2017-09-21,12.0,48.0,1.0,2.0,2.0,2200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"21 Chancery Hall, North King Street, Dublin 7, Dublin 7",0.0,0.0,0.0,7.0,2017-09-21,12.0,103.0,1.0,1.0,2.0,2000.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
30,"21 Eaton Tce, Rathcoole, Rathcoole, Co. Dublin",2329.0,1.0,0.0,0.0,2017-09-15,12.0,102.0,1.0,2.0,2.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"217, South Circular Road, Dublin 8",0.0,0.0,0.0,19.0,2017-09-19,12.0,101.0,1.0,1.0,2.0,1700.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
32,"23A Tritonville Road, Sandymount, Dublin 4",0.0,0.0,0.0,16.0,2017-09-16,12.0,60.0,1.0,1.0,2.0,1950.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
33,"25 Andrews street, Dublin 2, Dublin 2",92.0,1.0,0.0,22.0,2017-09-15,12.0,53.0,1.0,2.0,2.0,3500.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
