,property_title,seller_id,seller_type,open_viewing,no_of_photos,available_from,available_for,area,furnished,bathrooms,beds,price,Parking,Cable Television,Dryer,Garden / Patio / Balcony,Washing Machine,Serviced Property,Pets Allowed,Wheelchair Access,Central Heating,Microwave,Smoking,Dishwasher,House Alarm,Internet
115,"Apt 3 The Anchorage, Clarence Street, Dun Laoghaire, Co. Dublin",0.0,0.0,0.0,11.0,2017-09-30,6.0,9.0,1.0,1.0,1.0,1750.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
116,"Apt 5 Amberfield Verdemont  Snugborough Rd, Blanch, Blanchardstown, Dublin 15",1413.0,1.0,1.0,11.0,2017-09-19,12.0,50.0,1.0,2.0,2.0,1500.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
117,"Apt 52 Rockabill Apartments, Holmpatrick, Skerries, Co. Dublin",0.0,0.0,0.0,7.0,2017-09-20,12.0,61.0,1.0,2.0,2.0,1300.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
118,"aras na cluaine woodford walk clondalkin dublin 22, Clondalkin, Dublin 22",0.0,0.0,0.0,6.0,2017-09-12,12.0,110.0,1.0,2.0,2.0,1350.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
120,"Ard Cluain, Clonee, Dublin 15",10.0,1.0,0.0,8.0,2017-08-29,12.0,54.0,1.0,2.0,2.0,1352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,"Ard Na Mara, Malahide, Co. Dublin",0.0,0.0,0.0,29.0,2017-09-21,12.0,6.0,1.0,1.0,1.0,1166.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
122,"Ardee Court, Cork St, Dublin 8, Dublin 8",577.0,1.0,0.0,4.0,2017-09-20,12.0,108.0,1.0,1.0,1.0,1350.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
123,"Ashbrook, Navan Road, Ashtown, Dublin 7",8956.0,1.0,0.0,6.0,2017-09-11,12.0,106.0,1.0,1.0,2.0,1450.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
124,"Aungier Street, Dublin 2, Dublin 2",2.0,1.0,0.0,11.0,2017-09-19,12.0,53.0,1.0,1.0,2.0,1750.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
125,"Bachelors Walk, Dublin 1, Dublin 1",0.0,0.0,0.0,11.0,2017-09-30,12.0,25.0,1.0,1.0,1.0,1700.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
126,"Bachelors Walk, Dublin 1, Dublin 1",173.0,1.0,0.0,6.0,2017-10-06,12.0,25.0,1.0,1.0,1.0,1345.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
127,"Bachelors Walk, Dublin 1, Dublin 1",10.0,1.0,0.0,6.0,2017-09-19,12.0,25.0,1.0,1.0,1.0,1405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,"Ballintyre Demense, Ballinteer Walk, Ballinteer, Dublin 16",7372.0,1.0,0.0,5.0,2017-09-13,12.0,45.0,1.0,2.0,2.0,1450.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
129,"Ballintyre Demesne, Ballinteer, Dublin 16",6589.0,1.0,0.0,20.0,2017-09-13,12.0,45.0,1.0,2.0,3.0,2100.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
130,"Ballintyre Square, Ballinteer, Dublin 16",0.0,0.0,0.0,17.0,2017-10-07,12.0,45.0,1.0,2.0,2.0,1750.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
131,"Ballsbridge Wood, Shelbourne Road, Ballsbridge, Dublin 4",114.0,1.0,0.0,24.0,2017-09-18,12.0,92.0,1.0,2.0,3.0,3200.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
132,"Ballycorus Road, Kilternan, Dublin 18",0.0,0.0,0.0,18.0,2017-09-18,0.0,31.0,1.0,1.0,2.0,1400.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
133,"Barrow House, Custom House Square, IFSC, Dublin 1",114.0,1.0,0.0,18.0,2017-09-18,12.0,84.0,1.0,2.0,2.0,2200.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
134,"Beechwood Court, Stillorgan, Co. Dublin",8178.0,1.0,0.0,6.0,2017-09-08,12.0,13.0,1.0,2.0,2.0,1850.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
135,"Behan Square, Russell Street, Dublin 1, Dublin 1",1063.0,1.0,0.0,6.0,2017-09-13,12.0,25.0,1.0,1.0,2.0,1560.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
136,"Belfield Court, Stillorgan Road, Donnybrook, Dublin 4",7.0,1.0,0.0,6.0,2017-09-22,12.0,17.0,1.0,1.0,2.0,1700.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,"Belfield Park, Stillorgan, Co. Dublin",8178.0,1.0,0.0,20.0,2017-10-09,12.0,13.0,1.0,1.0,2.0,1700.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
138,"Bellevue, Islandbridge, Dublin 8",206.0,1.0,0.0,11.0,2017-10-01,12.0,39.0,1.0,1.0,2.0,1700.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
139,"Belmayne Park South, Balgriffin, Dublin 13",10123.0,1.0,0.0,14.0,2017-09-18,12.0,15.0,1.0,2.0,2.0,1500.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
140,"Belmont Park, Donnybrook, Donnybrook, Dublin 4",8372.0,1.0,0.0,11.0,2017-09-07,12.0,17.0,0.0,2.0,3.0,3200.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
141,"Berry House, Custom House Square, IFSC, Dublin 1, IFSC, Dublin 1",0.0,0.0,0.0,4.0,2017-09-22,6.0,84.0,1.0,2.0,2.0,2000.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
142,"Berrys Close, Inchicore, Dublin 8",9172.0,1.0,0.0,5.0,2017-10-01,12.0,109.0,1.0,1.0,2.0,1456.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
143,"Berrys Close, Spa Road, Inchicore, Dublin 8",5469.0,1.0,0.0,7.0,2017-09-15,12.0,109.0,1.0,1.0,2.0,1300.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
144,"Blackhall Court, Blackhall Green, Dublin 7, Dublin 7",948.0,1.0,0.0,6.0,2017-09-13,12.0,103.0,1.0,1.0,2.0,1637.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
145,"Blackhall Square,  Block A King St North, Smithfield, Dublin 7",1413.0,1.0,1.0,7.0,2017-09-27,12.0,74.0,1.0,1.0,1.0,1500.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
146,"Blackhall Square, North King Street, Smithfield, Dublin 1",0.0,0.0,0.0,8.0,2017-10-01,6.0,74.0,1.0,1.0,1.0,1700.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
147,"Blackthorn Hill View, Rathcoole, Co. Dublin",7569.0,1.0,0.0,6.0,2017-09-07,12.0,102.0,1.0,1.0,2.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,"Block 3, Clarion Quay, IFSC, Dublin 1",114.0,1.0,0.0,5.0,2017-09-15,12.0,84.0,1.0,2.0,2.0,2300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
149,"Block B Smithfield Market, Smithfield, Dublin 7",0.0,0.0,0.0,14.0,2017-09-16,12.0,74.0,1.0,2.0,2.0,2300.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
150,"Block G, Castleforbes Square, Castleforbes Road, Dublin 1, Dublin 1",0.0,0.0,0.0,9.0,2017-09-20,12.0,25.0,1.0,2.0,2.0,2100.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
151,"Booterstown Wood, Booterstown Avenue, Booterstown, Co. Dublin",8847.0,1.0,0.0,12.0,2017-09-12,12.0,83.0,1.0,2.0,2.0,1930.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
152,"Booterstown Wood, Booterstown Park,Blackrock, Booterstown, Co. Dublin",9768.0,1.0,0.0,18.0,2017-09-18,12.0,83.0,1.0,2.0,2.0,2200.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
153,"Bowbridge, Kilmainham, Dublin 8",0.0,0.0,0.0,8.0,2017-09-19,12.0,27.0,1.0,1.0,2.0,1900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
154,"Bowbridge Place, Irwin Street, Kilmainham, Dublin 8, Dublin 8",396.0,1.0,0.0,13.0,2017-09-11,12.0,108.0,1.0,1.0,3.0,2300.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
155,"Boyne Court, Harold's Cross, Dublin 6w",0.0,0.0,0.0,6.0,2017-10-09,12.0,19.0,3.0,1.0,1.0,1450.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
156,"Boyne House, IFSC, Dublin 1",0.0,0.0,0.0,9.0,2017-09-19,12.0,84.0,1.0,1.0,1.0,1750.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
157,"Bracken Hill, Sandyford, Dublin 18",0.0,0.0,0.0,6.0,2017-10-18,12.0,114.0,1.0,1.0,1.0,1400.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
158,"Bracken Hill, Sandyford, Dublin 18",10.0,1.0,0.0,8.0,2017-09-07,12.0,114.0,1.0,2.0,2.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,"Bracken Hill, Sandyford, Dublin 18",0.0,0.0,0.0,22.0,2017-09-22,12.0,114.0,1.0,2.0,2.0,1550.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
160,"Bracken Hill, Simonsridge, Sandyford, Dublin 18",0.0,0.0,0.0,7.0,2017-10-07,12.0,114.0,1.0,1.0,2.0,1500.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
161,"Braemor Road, Churchtown, Dublin 14",123.0,1.0,0.0,8.0,2017-09-10,12.0,11.0,1.0,1.0,2.0,1800.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
162,"Brennanstown Avenue, Brennanstown, Cabinteely, Dublin 18",2946.0,1.0,0.0,0.0,2017-09-22,12.0,105.0,1.0,2.0,2.0,1756.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164,"Burleigh Court, Burlington Road, Ballsbridge, Dublin 4",0.0,0.0,0.0,4.0,1970-01-01,12.0,92.0,1.0,1.0,1.0,1600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,"Burnell Court, Balgriffin, Dublin 13",10.0,1.0,0.0,9.0,2017-10-15,12.0,15.0,1.0,2.0,2.0,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,"Burnell Square, Clarehall, Dublin 17",366.0,1.0,0.0,5.0,2017-09-19,12.0,5.0,1.0,1.0,2.0,1700.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
167,"Bushy Park House, Templeogue Rd, Terenure, Dublin 6w",5139.0,1.0,0.0,8.0,2017-09-18,12.0,82.0,3.0,2.0,2.0,2000.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
168,"Cabra Park, Phibsborough, Dublin 7, Phibsborough, Dublin 7",0.0,0.0,0.0,10.0,2017-09-30,12.0,34.0,1.0,1.0,1.0,1000.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
169,"Cairnbrook Manor, Carrickmines, Dublin 18",1393.0,1.0,0.0,9.0,2017-10-01,3.0,72.0,1.0,2.0,2.0,2500.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
170,"Capel Court Apartments, Capel Street, Dublin 1, Dublin 1",0.0,0.0,0.0,18.0,2017-09-21,3.0,25.0,1.0,1.0,1.0,1700.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
171,"Capel Street, Dublin 1, Dublin 1",0.0,0.0,0.0,3.0,2017-09-18,12.0,25.0,1.0,1.0,1.0,1500.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
172,"Carmichael Hall, Windy Arbour, Churchtown, Dublin 14",0.0,0.0,0.0,9.0,2017-09-19,12.0,11.0,1.0,2.0,2.0,1400.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
173,"Carrickmines Green, Carrickmines, Dublin 18",427.0,1.0,0.0,15.0,2017-09-12,12.0,72.0,1.0,2.0,2.0,1600.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
174,"Carrickmines Wood, Brennanstown Road, Carrickmines, Dublin 18",8372.0,1.0,0.0,38.0,2017-11-01,12.0,72.0,1.0,1.0,1.0,2100.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
175,"Carrickmines Wood, Brennanstown Road, Carrickmines, Dublin 18",8372.0,1.0,0.0,38.0,2017-12-01,12.0,72.0,0.0,2.0,2.0,2900.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
176,"Carrigmore, Citywest, Co. Dublin",7569.0,1.0,0.0,5.0,2017-09-13,12.0,49.0,1.0,1.0,1.0,850.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
177,"Carrigmore Place, Saggart, Co. Dublin",2946.0,1.0,0.0,18.0,2017-09-19,12.0,3.0,1.0,2.0,3.0,1900.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
178,"Carrington, Northwood Avenue, Santry, Dublin 9",0.0,0.0,0.0,9.0,2017-09-14,12.0,55.0,1.0,2.0,2.0,1500.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
179,"Carrington Park, Northwood, Santry, Dublin 9",2619.0,1.0,0.0,9.0,2017-09-19,12.0,55.0,1.0,2.0,2.0,1350.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
180,"Castle Court, Kilgobbin Wood, Sandyford, Dublin 18",6498.0,1.0,1.0,9.0,2017-10-06,12.0,114.0,1.0,2.0,2.0,1620.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
181,"Castle Mill Apartments, Hamlet Lane, Balbriggan, Co. Dublin",0.0,0.0,0.0,7.0,2017-09-15,12.0,46.0,1.0,1.0,1.0,1100.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
182,"Castle Way Apartments, Golden Lane, Dublin 8, Dublin 8",9739.0,1.0,0.0,16.0,2017-09-21,12.0,108.0,1.0,2.0,2.0,2800.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
183,"Castle Way, Golden Lane, Dublin 8, Dublin 8",5469.0,1.0,0.0,17.0,2017-09-19,12.0,108.0,1.0,2.0,2.0,2300.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
184,"Castleforbes Road, IFSC, Dublin 1",0.0,0.0,0.0,13.0,2017-09-15,12.0,84.0,1.0,1.0,1.0,1550.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
185,"Castleknock Park, Castleknock, Dublin 15",0.0,0.0,0.0,14.0,2017-09-24,0.0,69.0,1.0,2.0,2.0,1500.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
186,"Castleknock Village, Castleknock, Dublin 15",0.0,0.0,0.0,0.0,2017-09-23,12.0,69.0,1.0,2.0,2.0,1800.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
187,"Cathedral Court, Dublin 2, Dublin 2",10732.0,1.0,0.0,21.0,2017-09-10,12.0,53.0,1.0,1.0,1.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
188,"Cathedral Court, Dublin 2, Dublin 2",10732.0,1.0,0.0,23.0,2017-09-20,12.0,53.0,1.0,2.0,2.0,2500.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
189,"Cathedral Court, Dublin 2, Dublin 2",10732.0,1.0,0.0,23.0,2017-09-20,12.0,53.0,1.0,1.0,1.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
190,"Cedar Hall, Millbrook Village, Milltown, Dublin 6",9739.0,1.0,0.0,24.0,2017-09-20,12.0,48.0,1.0,2.0,2.0,2200.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
191,"Cedarbrook Avenue, Cherry Orchard, Dublin 10",0.0,0.0,0.0,7.0,2017-09-21,12.0,78.0,1.0,1.0,2.0,1400.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
192,"Cedarbrook Avenue, Cherry Orchard, Dublin 10",7569.0,1.0,0.0,7.0,2017-09-21,12.0,78.0,1.0,1.0,2.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,"Chandlers Guild James Street  Dublin 8, Dublin 8, Dublin 8",8752.0,1.0,0.0,9.0,2017-09-15,12.0,108.0,1.0,1.0,2.0,1600.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
195,"Charlemont Street, Dublin 2, Dublin 2",0.0,0.0,0.0,11.0,2017-09-21,12.0,53.0,1.0,2.0,2.0,1800.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
196,"City Gate, Saint Augustine Street, Dublin 8, Dublin 8",6589.0,1.0,0.0,6.0,2017-09-25,12.0,108.0,1.0,1.0,1.0,1350.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
197,"City Square, Gloucester Street, Dublin 2, Dublin 2",9871.0,1.0,0.0,6.0,2017-09-22,12.0,53.0,0.0,1.0,2.0,1855.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
198,"Clarion Quay, Dublin 1, IFSC, Dublin 1",0.0,0.0,0.0,7.0,2017-09-19,12.0,84.0,1.0,1.0,2.0,2400.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
199,"Clifden Court, Ellis Quay, Dublin 7, Dublin 7",0.0,0.0,0.0,15.0,2017-09-16,12.0,103.0,1.0,1.0,2.0,1800.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
200,"College Court, Kevin Street, Dublin 8, Dublin 8",0.0,0.0,0.0,5.0,2017-09-10,12.0,108.0,1.0,1.0,1.0,1500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
201,"College View, Silloge Road, Ballymun, Dublin 9",10195.0,1.0,0.0,4.0,2017-09-15,12.0,28.0,0.0,2.0,2.0,1600.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
202,"Cranford Court, Donnybrook, Dublin 4",577.0,1.0,0.0,7.0,2017-09-30,12.0,17.0,1.0,1.0,1.0,1350.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
203,"Crannagh Castle, Rathfarnham, Dublin 14",432.0,1.0,0.0,7.0,2017-09-12,12.0,22.0,1.0,1.0,2.0,1470.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
204,"Crosbies Yard,, East Wall, Dublin 3",6865.0,1.0,0.0,8.0,2017-10-12,12.0,8.0,1.0,1.0,1.0,1500.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
205,"Cullenswood Court, Cullenswood Park, Ranelagh, Dublin 6",577.0,1.0,0.0,7.0,2017-09-21,12.0,67.0,1.0,1.0,3.0,2080.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
206,"Cullenswood House, Ranelagh, Dublin 6",0.0,0.0,0.0,6.0,2017-09-14,12.0,67.0,1.0,1.0,2.0,1900.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
207,"Custom Hall, Lower Gardiner Street, Dublin 1, Dublin 1",7.0,1.0,0.0,5.0,2017-09-18,12.0,25.0,1.0,1.0,1.0,1500.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
208,"custom hall, lower gardiner street, Dublin 1, Dublin 1",0.0,0.0,0.0,9.0,2017-09-25,0.0,25.0,1.0,1.0,1.0,1050.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
210,"Custom House Harbour, IFSC, Dublin 1",0.0,0.0,0.0,11.0,2017-09-18,12.0,84.0,1.0,1.0,2.0,2500.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
214,"O\'Callaghan Court, Grand Canal Dock, Dublin 2",10732.0,1.0,0.0,11.0,2017-09-10,12.0,52.0,1.0,2.0,2.0,2700.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
215,"Viking Harbour Ushers Island, Dublin 8, Dublin 8",8885.0,1.0,0.0,5.0,2017-09-04,12.0,108.0,0.0,1.0,1.0,1400.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
216,"Tassagard Greens, Citywest, Co. Dublin",2329.0,1.0,0.0,3.0,2017-09-30,3.0,49.0,1.0,2.0,2.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,"Les Buissonnets, Blackrock, Co. Dublin",0.0,0.0,0.0,5.0,2017-09-04,12.0,68.0,1.0,2.0,2.0,1850.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
219,"Oscar Trayner Road, Santry, Dublin 9",9984.0,1.0,0.0,6.0,2017-09-09,9.0,55.0,1.0,1.0,2.0,550.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,"Viking Harbour, Usher\'s Island, Dublin 8, Dublin 8",190.0,1.0,0.0,5.0,2017-09-15,12.0,108.0,1.0,1.0,1.0,1300.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
221,"Mount Albany, Newtownpark Ave, Blackrock, Co. Dublin",190.0,1.0,1.0,6.0,2017-09-27,12.0,68.0,1.0,1.0,1.0,1450.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
222,"gloucester Square apartments, Dublin 1, Dublin 1",0.0,0.0,0.0,8.0,2017-09-10,12.0,25.0,1.0,1.0,1.0,1500.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
223,"Blessington Street, Dublin 1, Dublin 1",0.0,0.0,0.0,7.0,2017-09-14,12.0,25.0,1.0,1.0,2.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,"Cathedral Court, Dublin 2, Dublin 2",10732.0,1.0,0.0,21.0,2017-09-10,12.0,53.0,1.0,2.0,2.0,2500.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
226,"Phibsboro Road, Dublin 7, Dublin 7",0.0,0.0,0.0,6.0,2017-09-10,12.0,103.0,1.0,1.0,1.0,1350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
